smi,name,subclass,T_C,tmax,log_tmax,k_f,k_d,censored,model,q_C,d_LiC,%Vbur,BDE,Gsolv,HOMO,eta,fukui,B1,B5,L,vol,dipole,q_Li
[Li]C1OC1c1ccccc1,lithium oxiranyl anion,oxiranylLi,-58.0,2.05756,0.3133525084233013,1.7113,0.0568802,False,competing,-0.1795,1.8829,0.3838,489.1,-61.63,-8.66,2.441,-0.0915,1.82,6.4333,4.7172,149.98,4.283,0.4727
[Li]C1OC1c1ccccc1,lithium oxiranyl anion,oxiranylLi,-48.0,0.804441,-0.09450580279435508,3.76473,0.216894,False,competing,-0.1795,1.8829,0.3838,489.1,-61.63,-8.66,2.441,-0.0915,1.82,6.4333,4.7172,149.98,4.283,0.4727
[Li]C1OC1c1ccccc1,lithium oxiranyl anion,oxiranylLi,-38.0,0.00860223,-2.0653889497852442,762.21,1.09299,False,competing,-0.1795,1.8829,0.3838,489.1,-61.63,-8.66,2.441,-0.0915,1.82,6.4333,4.7172,149.98,4.283,0.4727
[Li]CCCC1CO1,3-(oxiran-2-yl)propyllithium,oxiranylLi,-78.0,0.0378731,-1.4216691454259653,260.007,0.0137593,False,competing,-0.2957,1.9226,0.2258,375.2000000000001,-60.35,-8.205,2.856,-0.1009,1.82,5.095,4.1426,131.66,4.117,0.4016
[Li]CCCC1CO1,3-(oxiran-2-yl)propyllithium,oxiranylLi,-60.0,0.0153591,-1.8136342319923509,648.51,0.0306424,False,competing,-0.2957,1.9226,0.2258,375.2000000000001,-60.35,-8.205,2.856,-0.1009,1.82,5.095,4.1426,131.66,4.117,0.4016
[Li]CCCC1CO1,3-(oxiran-2-yl)propyllithium,oxiranylLi,-40.0,0.000976578,-3.0102930635724983,12441.4,0.0657976,False,competing,-0.2957,1.9226,0.2258,375.2000000000001,-60.35,-8.205,2.856,-0.1009,1.82,5.095,4.1426,131.66,4.117,0.4016
[Li]CCCC1CO1,3-(oxiran-2-yl)propyllithium,oxiranylLi,-20.0,0.00554419,-2.256161894821641,1595.85,0.229639,False,competing,-0.2957,1.9226,0.2258,375.2000000000001,-60.35,-8.205,2.856,-0.1009,1.82,5.095,4.1426,131.66,4.117,0.4016
[Li]CCCC1CO1,3-(oxiran-2-yl)propyllithium,oxiranylLi,0.0,0.000571956,-3.2426373797597754,18216.8,0.544003,False,competing,-0.2957,1.9226,0.2258,375.2000000000001,-60.35,-8.205,2.856,-0.1009,1.82,5.095,4.1426,131.66,4.117,0.4016
[Li]CF,fluoromethyllithium,other,-78.0,9.79696e-05,-4.008908665128079,142270.0,0.125852,False,competing,-0.1694,1.9058,0.2315,473.8,-44.91,-8.825000000000001,3.3290000000000006,-0.0946,1.82,2.803,4.1258,67.85,4.287,0.4727
[Li]CF,fluoromethyllithium,other,-60.0,0.0011401,-2.943057054327123,7250.51,1.86759,False,competing,-0.1694,1.9058,0.2315,473.8,-44.91,-8.825000000000001,3.3290000000000006,-0.0946,1.82,2.803,4.1258,67.85,4.287,0.4727
[Li]CF,fluoromethyllithium,other,-40.0,0.0101538,-1.9933713951713004,475.933,3.94647,False,competing,-0.1694,1.9058,0.2315,473.8,-44.91,-8.825000000000001,3.3290000000000006,-0.0946,1.82,2.803,4.1258,67.85,4.287,0.4727
[Li]CF,fluoromethyllithium,other,-20.0,0.00010765,-3.967985965840494,54010.3,164.082,False,competing,-0.1694,1.9058,0.2315,473.8,-44.91,-8.825000000000001,3.3290000000000006,-0.0946,1.82,2.803,4.1258,67.85,4.287,0.4727
