smi,name,subclass,T_C,tmax,log_tmax,k_f,k_d,censored,model,q_C,d_LiC,%Vbur,BDE,Gsolv,HOMO,eta,fukui,B1,B5,L,vol,dipole,q_Li,stable
[Li]c1ccccc1-c1ccccc1Br,2-bromo-2'-lithiobiphenyl,o-ArLi,24.0,0.0151657,-1.819137539252345,700.269,0.0171052,False,competing,-0.2221,1.8957,0.4208,433.4,-71.07000000000001,-8.963000000000001,2.101000000000001,-0.1049,2.0029,5.9243,5.9183,206.8,6.322,0.4303,0
[Li]c1ccccc1Br,o-bromophenyllithium,o-ArLi,-50.0,0.0897469,-1.046980543709482,28.0171,2.95528,False,competing,-0.2368,1.9147,0.3369,477.7000000000001,-56.67,-9.314,3.3229999999999995,-0.1239,1.82,4.3308,4.1347,136.5,2.958,0.4765,0
[Li]c1ccccc1C#N,o-cyanophenyllithium,o-ArLi,20.0,0.000108203,-3.9657606979597277,142182.0,0.0296102,False,competing,-0.2137,1.9765,0.3422,476.6,-57.29,-9.263,2.4449999999999994,-0.1154,1.82,4.2567,4.1965,134.86,2.068,0.4438,0
[Li]c1ccccc1C(=O)OC,methyl o-lithiobenzoate,o-ArLi,0.0,0.000426467,-3.3701145688865695,14481.4,30.502,False,competing,-0.2207,1.9444,0.3496,524.2,-64.08,-8.76,1.7369999999999992,-0.1274,1.82,6.5085,4.1644,160.21,3.182,0.4733,0
[Li]c1ccccc1C(=O)OC(C)(C)C,tert-butyl o-lithiobenzoate,o-ArLi,0.0,0.023283,-1.6329610618441317,340.406,0.12336,False,competing,-0.2234,1.941,0.3559,522.9,-74.10000000000001,-8.614,1.7560000000000002,-0.1228,1.9158,7.7904,4.8599,211.31,3.66,0.4697,0
[Li]c1ccccc1C(=O)OC(C)C,isopropyl o-lithiobenzoate,o-ArLi,0.0,0.00197269,-2.704941156951158,3748.21,2.31526,False,competing,-0.2219,1.9459,0.4342,524.0,-72.16,-8.673,1.7569999999999997,-0.1202,1.9653,5.3207,6.7896,194.02,3.45,0.4711,0
[Li]c1ccccc1C(=O)OCC,ethyl o-lithiobenzoate,o-ArLi,0.0,0.0026592,-2.575248997895983,2133.11,7.4848,False,competing,-0.2215,1.9448,0.3928,523.6,-67.95,-8.721,1.7459999999999996,-0.1184,1.82,5.3652,5.8464,177.38,3.355,0.4722,0
[Li]c1ccccc1I,2-iodophenyllithium,o-ArLi,-50.0,0.000384419,-3.415195155365526,15582.7,39.6015,False,competing,-0.2364,1.9224,0.341,471.5,-61.65,-9.286,3.007999999999999,-0.1245,1.82,4.7467,4.1424,145.52,3.514,0.4634,0
[Li]c1ccccc1[N+](=O)[O-],o-nitrophenyllithium,o-ArLi,0.0,0.0278745,-1.5547929140491994,263.455,0.171185,False,competing,-0.221,1.9477,0.3385,553.6,-59.66,-9.518,0.984,-0.1255,1.82,4.9503,4.1672,139.66,3.5,0.493,0
[Li]c1ccccn1,2-pyridyllithium,m+p ArLi,-40.0,1.49733,0.175317526051046,2.10288,0.105702,False,competing,-0.1481,1.8783,0.2482,438.9,-57.02,-8.447000000000001,2.5600000000000005,-0.0809,1.82,4.3996,4.0983,113.52,3.539,0.402,0
