intermediate_smiles,conjugate_acid_smiles,intermediate_class,Ea_kJ_mol
[Li]c1nc(-c2ccccc2)sc1C,[H]c1nc(-c2ccccc2)sc1C,ArLi,
[Li]c1ccccc1I,[H]c1ccccc1I,ArLi,57.36
[Li]c1c(C)sc2ccccc12,[H]c1c(C)sc2ccccc12,ArLi,59.77
[Li]C1(C)OC1c1ccccc1,[H]C1(C)OC1c1ccccc1,oxiranylLi,59.89
[Li]c1ccccn1,[H]c1ccccn1,ArLi,
[Li]CSCc1ccccc1,[H]CSCc1ccccc1,carbenoid,61.53
[Li]C1(c2ccc3ccccc3c2)CO1,[H]C1(c2ccc3ccccc3c2)CO1,oxiranylLi,62.4
[Li]C1OC1c1ccccc1,[H]C1OC1c1ccccc1,oxiranylLi,63.81
[Li]C1(c2ccc(Cl)cc2)CO1,[H]C1(c2ccc(Cl)cc2)CO1,oxiranylLi,64.88
[Li]c1ccccc1Br,[H]c1ccccc1Br,ArLi,72.13
[Li][C@@]1(c2ccccc2)O[C@@H]1c1ccccc1,[H][C@@]1(c2ccccc2)O[C@@H]1c1ccccc1,oxiranylLi,76.36
[Li][C@]1(c2ccccc2)OC1(C)c1ccccc1,[H][C@]1(c2ccccc2)OC1(C)c1ccccc1,oxiranylLi,77.19
