arli_smiles,arx_smiles,n_reactions,n_cryo,mean_yield,ref_temp_C,stability_label,n_heavy_atoms,HeavyAtomCount,Li_C_degree,Li_C_ewg_neighbors,Li_C_hybridization_sp2,Li_C_hybridization_sp3,Li_C_is_aromatic,Li_neighbor_count,MW,MolLogP,NumAliphaticRings,NumAromaticAtoms,NumAromaticRings,NumBr,NumF,NumHalogens,NumHeteroatoms,NumI,NumLi,NumN,NumO,NumRotatableBonds,TPSA,has_epoxide,has_ester,has_nitrile
[Li]Cc1ccc2cc(-c3ccc(OC)c(C45CC6CC(CC(C6)C4)C5)c3)ccc2c1,COc1ccc(-c2ccc3cc(CI)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,1,0,56.0,0.0,batch_moderate,30,30,2,0,0,1,0,1,388.4800000000002,6.651700000000006,4,16,3,0,0,0,2,0,1,0,1,4,9.23,0,0,0
[Li]c1ccc(OC)c(-c2ccccc2)c1,COc1ccc(Br)cc1-c1ccccc1,1,1,76.7,-75.0,batch_moderate,15,15,3,0,1,0,1,1,190.17100000000002,2.1559999999999997,0,12,2,0,0,0,2,0,1,0,1,2,9.23,0,0,0
[Li]c1ccc(OC)c(C(C)(C)C)c1,COc1ccc(Br)cc1C(C)(C)C,1,1,64.2,-75.0,batch_moderate,13,13,3,0,1,0,1,1,170.18099999999998,1.7865,0,6,1,0,0,0,2,0,1,0,1,1,9.23,0,0,0
[Li]c1ccc(OC)c(C2(C)CCCCC2)c1,COc1ccc(Br)cc1C1(C)CCCCC1,1,1,64.6,-75.0,batch_moderate,16,16,3,0,1,0,1,1,210.24599999999992,2.7108000000000008,1,6,1,0,0,0,2,0,1,0,1,2,9.23,0,0,0
[Li]c1ccc(OC)cc1C(C)C,COc1ccc(Br)c(C(C)C)c1,2,0,79.3,0.0,batch_moderate,12,12,3,0,1,0,1,1,156.15399999999997,1.6124,0,6,1,0,0,0,2,0,1,0,1,2,9.23,0,0,0
[Li]c1cc(F)c(F)cc1F,Fc1cc(F)c(Br)cc1F,5,0,84.5,0.0,batch_stable,10,10,3,0,1,0,1,1,138.017,0.8977,0,6,1,0,3,3,4,0,1,0,0,0,0.0,0,0,0
[Li]c1cc(F)c(F)c(C(F)(F)F)c1F,Fc1cc(Br)c(F)c(C(F)(F)F)c1F,3,1,69.0,-78.0,batch_moderate,14,14,3,0,1,0,1,1,206.01399999999995,1.9164999999999999,0,6,1,0,6,6,7,0,1,0,0,0,0.0,0,0,0
[Li]c1ccc(-n2c(C)ccc2C)cn1,Cc1ccc(C)n1-c1ccc(Br)nc1,1,1,46.0,-78.0,batch_moderate,14,14,3,1,1,0,1,1,178.164,1.28294,0,11,2,0,0,0,3,0,1,2,0,1,17.82,0,0,0
[Li]c1c[nH]c2ncnc(Cl)c12,Clc1ncnc2[nH]cc(Br)c12,3,3,47.0,-78.0,batch_moderate,11,11,3,0,1,0,1,1,159.505,0.4051000000000002,0,9,2,0,0,1,5,0,1,3,0,0,41.57,0,0,0
[Li]c1cnc2ccc(NCCCC)nn12,CCCCNc1ccc2ncc(Br)n2n1,1,1,57.7,-78.0,batch_moderate,15,15,3,1,1,0,1,1,196.18299999999996,0.7350999999999999,0,9,2,0,0,0,5,0,1,4,0,4,42.22,0,0,0
[Li]c1cc(Cl)c(F)cc1OC,COc1cc(F)c(Cl)cc1Br,2,0,88.6,-40.0,batch_stable,11,11,3,0,1,0,1,1,166.50799999999998,1.2814999999999999,0,6,1,0,1,2,4,0,1,0,1,1,9.23,0,0,0
[Li]c1ccc2c(c1)C(CCCC)(CCCC)c1cc(N(c3ccccc3)c3ccccc3)ccc1-2,CCCCC1(CCCC)c2cc(Br)ccc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21,2,0,79.4,-30.0,batch_moderate,35,35,3,0,1,0,1,1,451.5830000000001,8.597100000000005,1,24,4,0,0,0,2,0,1,1,0,9,3.24,0,0,0
[Li]c1ccc(OC)c(O[Si](C)(C)C(C)(C)C)c1,COc1ccc(Br)cc1O[Si](C)(C)C(C)(C)C,3,3,59.0,-78.0,batch_moderate,17,17,3,0,1,0,1,1,244.33599999999996,2.873000000000001,0,6,1,0,0,0,4,0,1,0,2,3,18.46,0,0,0
[Li]c1ccc(OCC(C)C)cc1,CC(C)COc1ccc(Br)cc1,3,3,35.8,-78.0,batch_moderate,12,12,3,0,1,0,1,1,156.154,1.5151999999999999,0,6,1,0,0,0,2,0,1,0,1,3,9.23,0,0,0
[Li]c1ccccc1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CC(C)c1cc(C(C)C)c(-c2ccccc2I)c(C(C)C)c1,5,5,94.0,-60.0,batch_stable,22,22,3,0,1,0,1,1,286.38800000000003,5.517600000000005,0,12,2,0,0,0,1,0,1,0,0,4,0.0,0,0,0
[Li][Mg]c1c(C)cc(C)cc1C,Cc1cc(C)c([Mg]Br)c(C)c1,4,4,45.2,-78.0,batch_moderate,11,11,2,0,0,0,0,1,150.43299999999996,1.0248599999999999,0,6,1,0,0,0,2,0,1,0,0,1,0.0,0,0,0
[Li]c1ccccc1-c1c(OC)cccc1OC,COc1cccc(OC)c1-c1ccccc1Br,4,4,65.0,-78.0,batch_moderate,17,17,3,0,1,0,1,1,220.197,2.1646,0,12,2,0,0,0,3,0,1,0,2,3,18.46,0,0,0
[Li]CCOc1cc(Br)ccc1Br,BrCCOc1cc(Br)ccc1Br,3,3,98.5,-78.0,batch_stable,12,12,2,0,0,1,0,1,285.89199999999994,3.177200000000001,0,6,1,2,0,2,4,0,1,0,1,3,9.23,0,0,0
[Li]c1cnc(N)nc1NC1CCCC1,Nc1ncc(I)c(NC2CCCC2)n1,2,0,66.5,0.0,batch_moderate,14,14,3,0,1,0,1,1,184.17199999999994,0.20709999999999962,1,6,1,0,0,0,5,0,1,4,0,2,63.83,0,0,0
[Li]c1cc(Br)ccc1F,Fc1ccc(Br)cc1I,4,4,44.975,-76.5,batch_moderate,9,9,3,0,1,0,1,1,180.933,1.3820000000000001,0,6,1,1,1,2,3,0,1,0,0,0,0.0,0,0,0
[Li]c1ccc(C#N)c(OC)c1,COc1cc(Br)ccc1C#N,5,5,54.6,-78.0,batch_moderate,11,11,3,0,1,0,1,1,139.083,0.36068,0,6,1,0,0,0,3,0,1,1,1,1,33.019999999999996,0,0,1
[Li]c1ccsc1C(F)(F)F,FC(F)(F)c1sccc1Br,1,0,47.0,0.0,batch_moderate,10,10,3,0,1,0,1,1,158.07299999999998,1.5607000000000002,0,5,1,0,3,3,5,0,1,0,0,0,0.0,0,0,0
[Li]c1c(-c2ccccc2)cn(C)c1C,Cc1c(Br)c(-c2ccccc2)cn1C,1,1,38.4,-78.0,batch_moderate,14,14,3,0,1,0,1,1,177.17599999999996,1.79432,0,11,2,0,0,0,2,0,1,1,0,1,4.93,0,0,0
[Li]c1cnc(CO[Si](C)(C)C(C)(C)C)c(C)c1OC,COc1c(Br)cnc(CO[Si](C)(C)C(C)(C)C)c1C,2,2,58.4,-68.0,batch_moderate,19,19,3,0,1,0,1,1,273.378,2.714220000000001,0,6,1,0,0,0,5,0,1,1,2,4,31.35,0,0,0
[Li]c1ccc(C(OC)OC)cn1,COC(OC)c1ccc(Br)nc1,1,1,53.7,-70.0,batch_moderate,12,12,3,1,1,0,1,1,159.114,0.16680000000000006,0,6,1,0,0,0,4,0,1,1,2,3,31.35,0,0,0
[Li]c1cccc(C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)c1,Brc1cccc(C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)c1,1,0,89.8,0.0,batch_stable,27,27,3,0,1,0,1,1,359.3580000000001,3.9745000000000035,0,24,4,0,0,0,2,0,1,0,0,5,0.0,0,0,0
[Li]c1cccc2c1OCCN(C(=O)OC(C)(C)C)C2,CC(C)(C)OC(=O)N1CCOc2c(Br)cccc2C1,3,2,24.349999999999998,-78.0,batch_unstable,19,19,3,0,1,0,1,1,255.24299999999997,1.6099,1,6,1,0,0,0,5,0,1,1,3,0,38.769999999999996,0,1,0
[Li]c1ccnc2[nH]ccc12,Brc1ccnc2[nH]ccc12,5,0,76.1,20.0,batch_moderate,10,10,3,0,1,0,1,1,124.07199999999997,0.35669999999999996,0,9,2,0,0,0,3,0,1,2,0,0,28.68,0,0,0
[Li]c1cc2c3ccccc3c3ccccc3c2c2ccccc12,Brc1cc2c3ccccc3c3ccccc3c2c2ccccc12,4,0,60.0,-40.0,batch_moderate,23,23,3,0,1,0,1,1,284.287,5.093200000000003,0,22,5,0,0,0,1,0,1,0,0,0,0.0,0,0,0
[Li]C1=Cc2ccccc2CC1,BrC1=Cc2ccccc2CC1,1,1,59.5,-65.0,batch_moderate,11,11,3,0,1,0,0,1,136.12299999999996,2.1422,1,6,1,0,0,0,1,0,1,0,0,0,0.0,0,0,0
[Li]c1ccccc1C(=O)OC,COC(=O)c1ccccc1I,4,4,83.5,-78.0,batch_stable,11,11,3,0,1,0,1,1,142.083,0.267,0,6,1,0,0,0,3,0,1,0,2,1,26.3,0,1,0
[Li]c1c(OC)ccc2cc(-c3ccc(OC)cc3)ccc12,COc1ccc(-c2ccc3c(Br)c(OC)ccc3c2)cc1,2,2,62.8,-78.0,batch_moderate,21,21,3,0,1,0,1,1,270.257,3.317800000000002,0,16,3,0,0,0,3,0,1,0,2,3,18.46,0,0,0
[Li]c1cnccc1Cl,Clc1ccncc1I,3,3,76.7,-78.0,batch_moderate,8,8,3,0,1,0,1,1,119.47999999999999,0.5288,0,6,1,0,0,1,3,0,1,1,0,0,12.89,0,0,0
[Li]c1ccc(CO)cc1C,Cc1cc(CO)ccc1Br,1,0,64.3,0.0,batch_moderate,10,10,3,0,1,0,1,1,128.09999999999997,0.28112000000000004,0,6,1,0,0,0,2,0,1,0,1,1,20.23,0,0,0
[Li]c1ccc(SCCCCCCCCC)cc1,CCCCCCCCCSc1ccc(Br)cc1,1,0,89.0,0.0,batch_stable,17,17,3,0,1,0,1,1,242.35699999999994,4.323100000000004,0,6,1,0,0,0,2,0,1,0,0,9,0.0,0,0,0
[Li]c1ccc2c(c1)OCCC2(C)C,CC1(C)CCOc2cc(Br)ccc21,2,2,47.8,-78.0,batch_moderate,13,13,3,0,1,0,1,1,168.165,1.5405,1,6,1,0,0,0,2,0,1,0,1,0,9.23,0,0,0
[Li]c1ccc2c(c1)SCCC2(C)C,CC1(C)CCSc2cc(Br)ccc21,1,1,55.0,-78.0,batch_moderate,13,13,3,0,1,0,1,1,184.23299999999995,2.2538,1,6,1,0,0,0,2,0,1,0,0,0,0.0,0,0,0
[Li]C(Br)=CC(CCCCC)c1ccc2c(c1)N(C(=O)OC(C)(C)C)CCC2(C)C,CCCCCC(C=C(Br)Br)c1ccc2c(c1)N(C(=O)OC(C)(C)C)CCC2(C)C,2,2,88.4,-78.0,batch_stable,29,29,3,1,1,0,0,1,456.3940000000003,7.178100000000008,1,6,1,1,0,1,5,0,1,1,2,6,29.540000000000003,0,1,0
[Li]c1ccc([C@@H](C)N(CC=C)CC=C)cc1,C=CCN(CC=C)[C@H](C)c1ccc(Br)cc1,1,1,64.0,-78.0,batch_moderate,16,16,3,0,1,0,1,1,207.24599999999998,2.2154,0,6,1,0,0,0,2,0,1,1,0,6,3.24,0,0,0
[Li]c1cc2ccccc2c2ccccc12,Brc1cc2ccccc2c2ccccc12,2,2,77.6,-67.0,batch_moderate,15,15,3,0,1,0,1,1,184.167,2.7868000000000013,0,14,3,0,0,0,1,0,1,0,0,0,0.0,0,0,0
[Li]c1ccccc1-c1ccc2ccc3cccc4ccc1c2c34,Brc1ccccc1-c1ccc2ccc3cccc4ccc1c2c34,2,0,88.0,-20.0,batch_stable,23,23,3,0,1,0,1,1,284.2870000000001,5.044800000000003,0,22,5,0,0,0,1,0,1,0,0,1,0.0,0,0,0
[Li]c1c2ccccc2c(Br)c2ccccc12,Brc1c2ccccc2c(Br)c2ccccc12,1,1,20.2,-69.0,batch_unstable,16,16,3,0,1,0,1,1,263.063,3.5493000000000015,0,14,3,1,0,1,2,0,1,0,0,0,0.0,0,0,0
[Li]Cc1cc(OC)c(OCc2ccccc2)cc1Br,COc1cc(CBr)c(Br)cc1OCc1ccccc1,3,3,55.0,-78.0,batch_moderate,19,19,2,0,0,1,0,1,313.12,3.705200000000003,0,12,2,1,0,1,4,0,1,0,2,5,18.46,0,0,0
